,open,close,high,low,volume,money
2011/1/26,2939.77,2978.43,2982.32,2939.36,4337497900,51746038070
2011/1/27,2953.59,3026.47,3037.16,2935.27,8258591900,96976029913
2011/1/28,3020.12,3036.74,3047.27,3011.38,6301358900,78241917729
2011/1/31,3035.42,3076.51,3076.55,3032.45,6710591400,83070309373
2011/2/1,3083.49,3077.28,3087.22,3062.83,4986253000,65832698489
2011/2/9,3055.4,3040.95,3087.55,3031.75,6039414500,78148356164
2011/2/10,3034.08,3104.16,3105.32,3024.35,6660366200,86967273678
2011/2/11,3100.27,3120.96,3133.5,3092.58,7597555300,99001500830
2011/2/14,3123.25,3219.14,3227.43,3123.25,12130233100,1.55829E+11
2011/2/15,3223.22,3217.67,3259.64,3215.62,10955443800,1.47747E+11
2011/2/16,3211.14,3248.53,3248.85,3195.47,9133428300,1.2555E+11
2011/2/17,3255.63,3245.91,3265.26,3218.91,8896469500,1.2756E+11
2011/2/18,3240.05,3211.88,3242.37,3203.12,7537868400,1.04743E+11
2011/2/21,3192.15,3257.91,3258.28,3189.85,7939977600,1.08056E+11
2011/2/22,3267.61,3163.58,3269.05,3161.83,10786374100,1.47589E+11
2011/2/23,3152.44,3174.74,3182.18,3145.99,7132485400,97251422739
2011/2/24,3170.24,3190.93,3195.69,3157.97,6648689300,94908281477
2011/2/25,3190.87,3197.62,3213.79,3159.85,6161927500,88275899352
2011/2/28,3200.68,3239.56,3241.6,3178.83,7663066300,1.0925E+11
2011/3/1,3241.71,3254.89,3273.51,3235.75,8856695400,1.24041E+11
2011/3/2,3237.12,3243.3,3257.42,3202.83,8091064100,1.13592E+11
2011/3/3,3248.16,3221.72,3271.64,3221.04,10121999700,1.31218E+11
2011/3/4,3223.51,3270.67,3273.66,3217.48,8001391500,1.07402E+11
2011/3/7,3287.41,3334.51,3337.47,3287.41,11818719700,1.70407E+11
2011/3/8,3335.71,3337.46,3342.71,3311.72,8487865500,1.26306E+11
2011/3/9,3344.1,3338.86,3355.49,3322.7,7802636100,1.13534E+11
